Part,Word,Meaning,Example Term
Suffix,logist,Specialist who studies and treats,Oncologist
Suffix,logy,Study of,Cardiology
Suffix,lysis,"Breakdown, destruction, dissolving",Thrombolysis
Suffix,lytic,"Breakdown, destruction, dissolving",Osteolytic
Prefix,Macro,"Large, long",Macrophage
Suffix,malacia,Softening,Osteomalacia
Root,Mamm,Breast,Mammography
Suffix,megaly,Enlargement,Acromegaly
Root,Ment,Chin,Mentolabial
Root,Ment,Mind,Dementia
Prefix,Meta,"After, beyond, change",Metacarpal bones
Suffix,meter,Device used for measuring,Sphygmomanometer
Suffix,metry,"Measuring, process of measuring",Spirometry
Prefix,Micro,"Small, minute",Microglia
Prefix,Mono,One,Monocyte
Root,Morph,"Form, shape",Morphology
Prefix,Multi,Many,Multipara
Root,Myo,Muscle,Myoma
Root,Myringo,Eardrum,Myringotome
Root,Myx,Mucus,Myxoma
Root,Nan,Dwarf,Nanomelia
Root,Nas,Nose,Paranasal
Root,Nat,Birth,Natality
Prefix,Neo,New,Neonate
Root,Neph,Kidney,Nephron
Root,Neur,Nerves,Neurosis
Root,Noct,Night,Nocturia
Prefix,Nulli,None,Nulligravida
Root,Nyct,Night,Nyctophobia
Root,Oculo,Eye,Ocular
Root,Odont,Tooth,Odontalgia
Suffix,oid,Resembling,Steroid
Prefix,Olig,"Few, little",Oliguria
Suffix,oma,"Swelling, tumor",Melanoma
Suffix,oma,"Tumor, mass",Angiosarcoma
Root,Ophthalm,Eye,Opthalmoscope
Suffix,opia,Vision,Diplopia
Suffix,opsy,Visual examination,Biopsy
Rood,Orchi,Testis,Orchitis
Root,Orchid,Testis,Orchidoepididymectomy
Suffix,osis,Abnormal condition,Endometriosis
Root,Oste,Bone,Endosteum
Suffix,ostomy,Opening,Colostomy
Root,Oto,Ear,Otoplasty
Suffix,otomy,"Cutting into, incision",Laparotomy
Suffix,ous,Pertaining to,Aqueous
Root,Ov,Egg,Ovulation
Prefix,Pachy,"Thick, thickening, thickened",Pachyderma
Root,Palat,Palate,Palatoschisis
Prefix,Pan,"All, total",Pancytopenia
Root,Papill,Nipple,Papillary
Prefix,Para,"Beside, beyond, around, abnormal",Parathyroid glands
Suffix,paresis,Slight paralysis,Hemiparesis
Root,Patell,"Patella, knee cap",Patellectomy
Suffix,pathy,"Disease, suffering",Lymphadenopathy
Root,Ped,Child,Pediatrics
Root,Ped,Foot,Pedestrian
Suffix,penia,"Deficiency, abnormal reduction in number",Thrombocytopenia
Suffix,pepsia,Digestion,Dyspepsia
Prefix,Per,Through,Percutaneous
Prefix,Peri,"Surrounding, outer",Peripheral vision
Root,Petr,Stone,Osteopetrosis
Suffix,pexy,"Surgical fixation, suspension",Oophoropexy
Root,Phac,Lens of the eye,Phacolysis
Suffix,phagia,"Eating, swallowing",Dysphagia
Suffix,phasia,Speech,Aphasia
Root,Phleb,Vein,Phlebitis
Suffix,phobia,"Aversion, abnormal fear",Photophobia
Root,Phot,Light,Photosensitivity
Root,Phren,Mind,Phrenopathy
Root,Physi,Nature,Physiology
Suffix,physis,Growth,Symphysis
Suffix,plasia,"Formation, development, growth",Hyperplasia
Suffix,plasm,"Growth, substance, formation",Cytoplasm
Suffix,plasty,Surgical repair,Rhinoplasty
Suffix,plegia,Paralysis,Hemiplegia
Suffix,pnea,Breathing,Sleep apnea
Root,Pneum,Lung,Pneumonectomy
Root,Pod,Foot,Podocyte
Suffix,poiesis,"Production, formation",Hemopoiesis
Prefix,Poly,"Many, much",Polyuria
Prefix,Post,"After, behind",Postpartum
Prefix,Pre,"Before, in front of",Prenatal
Prefix,Pro,"Before, in front of",Prognosis
Root,Proct,Rectum,Proctology
Root,Prostat,Prostate gland,Prostatitis
Suffix,ptosis,"Falling, drooping, prolapse",Apoptosis
Prefix,Quadr,Four,Quadriceps
Prefix,Retin,Retina,Retinopathy
Root,Rhino,Nose,Rhinoorrhea
Root,Rhytid,Wrinkles,Rhytidoplasty
Suffix,rrhage,"Bursting forth, bleeding",Hemorrhage
Suffix,rrhaphy,"Repairing, suturing",Cholecystorrhaphy
Suffix,rrhea,"Flow, discharge",Diarrhea
Suffix,rrhexis,Rupture,Amniorrhexis
Root,Salping,"Fallopian tube, uterine tube",Salpingotomy
Suffix,salpinx,"Fallopian tube, uterine tube",Pyosalpinx
Suffix,sarcoma,Malignant tumor,Rhabdomyosarcoma
Root,Scapula,Shoulder,Scapulectomy
Suffix,schisis,"Split, fissure",Cranioschisis
Suffix,sclerosis,Hardening,Arteriosclerosis
Suffix,scope,For examining,Endoscope
Suffix,scopy, Visual examination,Endoscopy
Root,Seb,Sebum,Sebaceous gland
Prefix,Semi,Half,Semilunar valves
Root,Sial,Saliva,Sialic Acid
Suffix,sis,Condition,Agranulocytosis
Suffix,spasm,"Sudden, involuntary contraction of muscle",Vasospasm
Root,Spir,Breathe,Spirometer
Suffix,stasis,"Level, unchanging",Homeostasis
Suffix,stenosis,"Constriction, narrowing",Ureterostenosis
Root,Steth,Chest,Stethoscope
Suffix,stomy,Creation of artificial opening,Nephrostomy
Prefix,Sub,"Under, below",Subcutaneous
Prefix,Supra,"Above, beyond",Suprascapular
Prefix,Sym,"Together, joined",Symphysis
Prefix,Tachy ,"Fast, rapid",Tachycardia
Root,Tars,"Tarsal, Edge of eyelid",Tarsitis
Root,Tars,"Tarsals, ankle bones",Metatarsal
Root,Tend,Tendon,Tendinitis
Root,Terat,Malformed fetus,Teratoma
Root,Test,Testicles,Testicular
Prefix,Tetra,Four,Tetralogy of Fallot
Root,Thorac,Chest,Thoracolumbar Spine
Suffix,thorax,"Chest cavity, chest",Hemothorax
Root,Thromb,Blood Clot,Thrombin
Suffix,tocia,"Labour, birth",Dystocia
Suffix,tome,Instrument used to cut,Dermatome
Prefix,Trans,"Across, through",Transdermal
Prefix,Tri,Three,Triceps
Suffix,tripsy,Surgical crushing,Cholecystolithotripsy
Suffix,trophy,"Growth, nourishment",Hypertrophy
Root,Tympan,Eardrum,Tympanometry
Suffix,um,Structure,Endocardium
Prefix,Uni,One,Unicellular
Suffix,uria,In the urine,Anuria
Root,Vas,"Veins, Arteries, Vessel",Vasodilation
